id,Predicted score
103743,0
560491,0
367412,0
155153,0
61015,0
115244,0
8405,0
63974,0
568307,0
408739,0
201894,0
211294,0
35313,0
192475,0
543518,0
561561,0
191664,0
88095,0
253565,0
517874,0
3087,0
556768,0
581532,0
451724,0
215076,0
167664,0
277882,0
617813,0
343764,0
471612,0
261628,0
83120,0
505605,0
214300,0
136252,0
557699,0
309935,0
631470,0
518795,0
186147,0
510186,0
363545,0
19799,0
71559,0
540648,0
370223,0
396018,0
575255,0
499567,0
560006,0
208122,0
549001,0
432213,0
246430,0
498258,0
364197,0
391628,0
82553,0
115664,0
536102,0
26752,0
131576,0
146540,0
612092,0
125322,0
303436,0
152169,0
15648,0
42498,0
393269,0
185576,0
339165,0
524716,0
439440,0
273099,0
338918,0
5926,0
620038,0
320851,0
598399,0
368132,0
482649,0
396495,0
471071,0
27587,0
484416,0
136261,0
33893,0
89055,0
496383,0
575607,0
31165,0
239292,0
129617,0
624517,0
436825,0
511040,0
511609,0
197789,0
477438,0
860,0
638040,0
75425,0
409795,0
65948,0
231253,0
533517,0
257113,0
374838,0
210547,0
19595,0
225152,0
455890,0
576840,0
203910,0
202835,0
74367,0
418248,0
88523,0
112670,0
115334,0
155091,0
375902,0
533337,0
268687,0
21069,0
568796,0
304924,0
301812,0
359102,0
190089,0
309052,0
545649,0
402251,0
493577,0
41836,0
46406,0
179580,0
112925,0
507415,0
593908,0
199463,0
457302,0
123717,0
67658,0
420764,0
253344,0
504132,0
296966,0
42220,0
560369,0
113698,0
89216,0
606960,0
351672,0
321157,0
156527,0
278186,0
269417,0
315322,0
108364,0
622240,0
588862,0
343763,0
67453,0
148138,0
248031,0
52957,0
306236,0
523705,0
245071,0
119781,0
379599,0
514496,0
8372,0
38778,0
455655,0
505720,0
501456,0
437233,0
466200,0
152754,0
442207,0
30512,0
20632,0
147781,0
105561,0
500217,0
306007,0
204042,0
349796,0
529974,0
558480,0
61235,0
359501,0
91018,0
629603,0
162295,0
4819,0
582288,0
522876,0
183772,0
460918,0
22864,0
214101,0
349290,0
271681,0
402104,0
411745,0
254624,0
548481,0
209014,0
321406,0
394289,0
303728,0
46866,0
222223,0
200420,0
114726,0
622002,0
320871,0
453575,0
443272,0
580436,0
435555,0
403055,0
572293,0
296347,0
576733,0
353072,0
38225,0
53416,0
207260,0
514380,0
187264,0
314953,0
391900,0
262781,0
384227,0
628010,0
539782,0
418396,0
632141,0
632097,0
162978,0
254401,0
236253,0
66217,0
419204,0
330087,0
124804,0
11778,0
576359,0
562670,0
252477,0
161859,0
45756,0
617062,0
67960,0
445481,0
510126,0
92274,0
75504,0
123096,0
525309,0
635298,0
12238,0
381802,0
485664,0
327601,0
430067,0
182666,0
588983,0
437861,0
77987,0
612673,0
101243,0
56760,0
150372,0
238703,0
218353,0
449657,0
596555,0
211588,0
244223,0
208560,0
403774,0
325103,0
599916,0
65079,0
469895,0
611332,0
440214,0
137656,0
133038,0
245364,0
381451,0
31899,0
458200,0
589273,0
466341,0
183519,0
114109,0
142140,0
139943,0
318767,0
451202,0
7138,0
172057,0
85259,0
636683,0
599160,0
324062,0
457209,0
5398,0
156685,0
242528,0
400299,0
435638,0
527348,0
554788,0
573064,0
299405,0
263348,0
225878,0
551263,0
265604,0
114914,0
507364,0
365203,0
488729,0
424299,0
546426,0
538744,0
424719,0
141409,0
122905,0
291473,0
500007,0
1170,0
430365,0
551652,0
156084,0
197536,0
348186,0
348565,0
254179,0
89746,0
525916,0
33458,0
618213,0
57308,0
621445,0
256918,0
570098,0
412987,0
589612,0
242249,0
377318,0
18028,0
608141,0
335332,0
385692,0
388764,0
177111,0
286070,0
202083,0
168911,0
146578,0
9081,0
111551,0
134368,0
184885,0
123530,0
340993,0
420851,0
67066,0
601959,0
187335,0
53366,0
350035,0
255644,0
361228,0
121961,0
592979,0
313928,0
1211,0
303875,0
579014,0
195572,0
633348,0
204920,0
495998,0
338038,0
92645,0
352806,0
54511,0
42949,0
150906,0
554930,0
231354,0
556503,0
279190,0
47406,0
281541,0
548701,0
117097,0
155463,0
559906,0
608625,0
211001,0
567875,0
239566,0
284465,0
246838,0
27146,0
354535,0
506574,0
196052,0
473958,0
14231,0
334687,0
228829,0
447352,0
605701,0
489645,0
38602,0
132968,0
156841,0
227272,0
206454,0
205431,0
131536,0
420162,0
312034,0
343928,0
286224,0
196215,0
616493,0
324285,0
52901,0
34452,0
94927,0
380727,0
495362,0
481985,0
523552,0
533593,0
439107,0
56208,0
377779,0
272476,0
189891,0
296388,1
543344,0
6642,0
579425,0
346339,0
51797,0
230254,0
556334,0
614804,0
558261,0
180739,0
2970,0
522784,0
259126,0
65518,0
189992,0
566826,0
352428,0
286118,0
508113,0
170422,0
256308,0
432254,0
377355,0
58142,0
610093,0
473957,0
175149,0
146041,0
286839,0
397208,0
103547,0
305846,0
28178,0
493949,0
166950,0
611958,0
629986,0
635104,0
133141,0
222704,0
414432,0
541083,0
152502,0
130829,0
57941,0
431996,0
63831,0
89242,0
435575,0
192847,0
196068,0
467472,0
157378,0
419334,0
573617,0
346536,0
122084,0
478019,0
322357,0
176959,0
344756,0
312245,0
439663,0
637497,0
610587,0
36205,0
441199,0
608080,0
253534,1
220562,0
50600,0
404391,1
5235,0
393716,0
502256,0
238243,0
140160,0
66816,0
241499,0
404356,0
501600,0
325909,0
205202,0
205521,0
92375,0
30907,0
545243,0
161496,0
310100,0
275213,0
617945,0
440650,0
307501,0
476830,0
239518,0
507152,0
308261,0
205658,0
486901,0
621552,0
421715,0
358850,0
213648,0
631126,0
50697,0
102916,0
600882,0
576770,0
13015,0
112833,0
49580,0
209504,0
589967,0
579572,0
167907,0
144776,0
323455,0
352120,0
543530,0
402357,0
424442,0
146322,0
323578,0
447574,0
488662,0
596414,0
90741,0
159683,0
166573,0
132781,0
388402,0
520920,0
93196,0
15182,0
586711,0
291538,0
259643,0
593749,0
198115,0
352066,0
549826,0
382632,0
177171,0
233280,0
81329,0
634334,0
610695,0
130942,0
494500,0
425157,0
301353,0
76463,0
572078,0
399233,0
605088,0
572838,0
319833,0
203632,0
125515,0
492436,0
392479,0
262936,0
524831,0
168691,0
504480,0
543596,0
330501,0
618999,0
237596,0
192169,0
630461,0
187406,0
565532,0
74581,0
606284,0
257134,0
465323,0
188928,0
178433,0
435841,0
583395,0
317036,0
300072,0
570523,0
557379,0
146058,0
560890,0
177381,0
189843,0
316286,0
35849,0
62871,0
300132,0
370836,0
601037,0
178592,0
243874,0
250556,0
387650,0
109272,0
356443,0
38378,0
120832,0
446841,0
302440,0
445123,0
513352,0
375703,0
246049,0
468799,0
225915,0
369380,0
125054,0
510299,0
23953,0
95910,0
34035,0
380978,0
398599,0
65973,0
103624,0
156676,0
430825,0
58486,0
447448,0
288064,0
250364,0
283536,0
261007,0
285468,0
523461,0
526863,0
267627,0
315249,0
33081,0
470057,0
470408,0
525334,0
502292,0
471284,0
17939,0
540860,0
230772,0
445529,0
531466,0
357868,0
579897,0
349926,0
82811,0
134376,0
205798,0
287160,0
265411,0
327196,0
482616,0
220080,0
13097,0
264252,0
378532,0
211860,0
423459,1
356482,0
110634,0
478938,0
193771,0
588323,0
395382,0
11679,0
595965,0
82230,0
282426,0
536814,0
604597,0
351440,0
565964,0
617161,0
384185,0
314674,0
438155,0
82871,0
323832,0
607577,0
406976,0
367818,0
454310,0
456850,0
383723,0
309437,0
50323,0
387171,0
202381,0
558527,0
302598,0
110479,0
506051,0
27387,0
153446,0
547240,0
551893,0
285984,0
105284,0
476983,0
454946,0
622574,0
270489,0
350854,0
84201,0
137229,0
277973,0
364040,0
139795,0
239867,0
451324,0
477831,0
444045,0
339229,0
286956,0
352507,0
517791,0
210715,0
459387,0
512128,0
91135,0
632733,0
338001,0
137287,0
279724,0
430854,0
217886,0
277305,0
293777,0
511110,0
253925,0
57383,0
237814,0
297684,0
613532,0
374966,0
11121,0
538843,0
59473,0
33421,0
577898,0
7801,0
75466,0
380095,0
309987,0
107015,0
445511,0
516194,0
126505,0
205184,0
276611,0
274580,0
595557,0
55607,0
320957,0
315637,0
104538,0
47385,0
152358,0
365897,0
505496,0
15948,0
194913,0
610957,0
522171,0
559401,0
300840,0
613824,0
235543,0
348038,0
477316,0
50946,0
303288,0
425164,0
482398,0
331844,0
54991,0
182842,0
328176,0
373589,0
476140,0
434875,0
67022,0
506486,0
321066,0
174392,1
368894,0
312756,0
63329,0
194124,0
192395,0
567455,0
564212,0
637276,0
573701,0
592061,0
15055,0
223023,0
370872,0
321587,0
489261,0
40963,0
303071,0
190247,0
197057,0
177213,0
30548,0
475488,0
354731,0
238395,0
221107,0
553261,0
68448,0
607276,0
491777,0
236524,0
360881,0
76304,0
141022,0
86236,0
295019,0
151855,0
140622,0
613194,0
496134,0
89450,0
568764,0
524830,0
505834,0
599137,0
22223,0
105401,0
30968,0
34829,0
308871,0
600107,0
78525,0
212850,0
492650,1
498507,0
43202,0
604071,0
67691,0
380144,0
201204,0
462590,0
368544,0
109782,0
245673,0
23895,0
510827,0
56563,0
143682,0
387545,0
421605,0
637035,0
279170,0
38672,0
400261,0
584703,0
288590,0
629662,0
140944,0
569983,0
581571,0
111451,0
324495,0
348385,0
247672,0
456540,0
315564,0
199984,0
600347,0
460792,0
630443,0
587913,0
363426,0
397043,0
558836,0
613619,0
59816,0
528400,0
174470,0
466253,0
333313,0
498633,0
314341,0
352607,0
274481,0
478823,0
608511,0
390577,0
581642,0
411562,0
116300,0
544315,0
518778,0
169729,0
58790,0
519399,0
422941,0
613324,0
244417,0
65899,0
424020,0
592106,0
198234,0
253669,0
362497,0
130215,0
636169,0
21168,0
406538,0
138643,0
285081,0
426219,0
527232,0
88667,0
490061,0
577172,0
151503,0
152966,0
552490,0
15890,0
574976,0
618881,0
143584,0
200389,0
299513,0
371895,0
416237,0
526201,0
159399,0
259401,0
544735,0
579568,0
542796,0
486390,0
468645,0
560456,0
615754,0
384776,0
567499,0
353932,0
51259,0
24213,0
69448,0
482923,0
124499,0
573029,0
82518,0
123228,0
524059,0
541573,0
387277,0
285937,0
416782,0
221457,0
587679,0
392682,0
637128,0
200647,0
202212,0
201263,0
106177,0
538133,0
276800,0
67666,0
412636,0
176801,0
601408,0
422425,0
260083,0
75854,0
302369,0
500673,0
291519,0
96051,0
368468,0
291734,0
97936,1
232476,0
141847,0
335353,0
152171,0
20504,0
25562,0
188549,0
392551,0
451319,0
567078,0
175445,0
504036,0
601607,0
80143,0
125441,0
371513,0
16171,0
249360,0
438767,0
14587,0
83299,0
143590,0
112708,0
224446,0
605943,0
129363,0
317424,0
249229,0
360718,0
590261,0
59806,0
95925,0
257015,0
572705,0
12026,0
29857,0
384145,0
165331,0
475027,0
420319,0
549207,0
34066,0
127708,0
257243,0
419933,0
254119,0
406594,0
427188,0
501223,0
369094,0
449091,0
528491,0
12778,0
285749,0
323894,0
484708,0
458211,0
400767,0
348769,0
566861,0
132279,0
72604,0
331155,0
154203,0
315830,0
276994,0
118296,0
88537,0
409726,0
221057,0
82251,0
3042,0
352436,0
74802,0
359786,0
77310,0
366212,0
208984,0
428761,0
124200,0
471771,0
358551,0
33093,0
198089,0
193405,0
165897,0
606002,0
488349,0
341693,0
267362,0
321710,0
276325,0
572792,0
249187,0
249654,0
196804,0
404676,0
542571,0
104527,0
499977,0
283122,0
227444,0
596772,0
160254,0
598663,0
308694,0
489227,0
4849,0
455298,0
122642,0
559140,0
635935,0
486320,0
119356,0
12677,0
52086,0
130816,0
339389,0
375265,0
558608,0
222455,0
143946,0
128811,0
405003,0
85183,0
118385,1
497506,0
15021,0
151210,0
627290,0
584368,1
429224,0
481526,0
79911,0
331467,0
60302,0
238538,0
243219,0
466009,0
111343,0
598856,1
466321,0
159885,0
369866,0
308753,0
621680,0
626276,0
392609,0
66363,0
347167,0
176863,0
331316,0
424844,0
76252,0
63721,0
446650,0
297497,0
417029,0
56595,0
492166,0
333676,0
274313,0
55521,0
561773,0
9291,0
481595,0
507367,0
289786,0
229974,0
440,0
343991,0
330438,0
636278,0
46080,0
263006,0
345229,0
480470,0
267442,0
2596,0
447275,0
333605,0
537194,0
112803,0
447195,0
147586,0
272736,0
531809,0
296376,0
131444,0
281800,0
196237,0
467082,0
482365,0
180343,0
387565,0
18060,0
411088,0
391522,0
590938,0
548741,0
259186,0
260241,0
138571,0
321128,0
577072,0
46339,0
118612,0
279150,0
431678,0
461540,0
517139,0
624770,0
465290,0
413824,0
405850,0
581083,0
105892,0
590063,0
170537,0
484832,0
558167,0
433807,0
454058,0
506543,0
307089,0
553493,0
53784,0
98800,0
154125,0
481807,0
616526,0
358074,0
227081,0
515172,0
576746,0
182688,0
569162,0
371947,0
366975,0
189841,0
534084,0
37812,0
274643,0
626623,0
80779,1
513748,0
550987,0
29038,0
458180,0
320623,0
292248,0
569401,0
471641,0
71497,0
108470,0
449536,0
514067,0
439700,0
413209,0
4813,0
408169,0
503400,0
192920,0
290833,0
497128,0
320079,0
169286,0
385089,0
283706,0
591680,0
297982,0
262432,0
305198,0
249386,0
532312,0
436484,0
370977,0
9927,0
458493,0
501836,0
114470,0
246545,0
143712,0
243990,0
349757,0
359626,0
71719,0
637504,0
96512,0
58161,0
603441,0
236808,0
443639,0
452036,0
522017,0
104017,0
112808,0
287778,0
12420,0
336407,0
617613,0
480935,0
37159,0
21263,0
286241,0
136853,0
599244,0
333739,0
420861,0
465879,0
226458,0
509097,0
612412,0
118465,0
371216,0
580839,0
625319,0
45766,0
53936,0
257540,0
439642,0
80044,0
380518,0
134934,0
196507,0
526664,0
4433,1
247692,0
520650,0
621333,0
334061,0
342036,0
149857,0
602595,0
510753,0
118676,0
7061,0
209131,0
352956,0
34405,0
637322,0
451171,0
71282,0
84956,0
279696,0
270659,0
80016,0
186634,0
149380,0
71114,0
550697,0
299105,0
93797,0
353400,0
242412,0
582082,0
401829,0
520165,0
379633,0
228126,0
295541,0
30553,0
329053,0
55629,0
172477,0
221779,0
301567,0
41986,0
455377,0
234369,0
162825,1
442604,0
572539,0
251435,0
215635,0
554255,0
122024,0
132017,0
426575,0
65280,0
189783,0
120930,0
101276,0
568812,0
151936,0
4644,0
12125,0
37423,0
634198,0
468592,0
425305,0
590792,0
284231,0
182354,0
379077,0
449687,0
627198,0
370642,0
433177,0
122357,0
118506,0
149564,0
151956,0
81514,0
343490,0
79780,0
164675,0
632822,0
514953,0
278956,0
23100,0
1814,0
467052,0
473870,0
392721,0
604731,0
318595,0
95448,0
84838,0
55897,0
393103,0
280830,0
604001,0
582860,0
278219,0
224062,0
161357,0
82704,0
383211,0
532052,0
506942,0
108762,0
252381,0
114796,0
283675,0
323658,0
531110,0
553987,0
363821,0
359915,0
71836,0
418961,0
565345,0
534248,0
533629,0
187601,0
58283,0
142164,0
128427,0
536428,0
458528,0
349517,0
568829,0
536865,0
250600,0
211776,0
251795,0
125951,0
179655,0
184295,0
342151,0
441293,0
260496,0
25844,0
487684,0
207965,0
372428,0
305958,0
445208,0
84621,0
567488,0
357686,0
267162,0
269236,0
472937,0
326199,0
1260,0
141441,0
387332,0
586802,0
294643,0
142946,0
569647,0
90277,0
167782,0
163341,0
607933,0
162399,0
230262,0
449307,0
537258,0
121774,0
72149,0
499211,0
117098,0
425239,0
292259,0
540287,0
442958,0
112452,0
386284,0
